Product ;Day Contacted;Inventory Levels;Manufactured Goods (%);Manufactured Goods %;Multiple Retailers;Plant;Product Advertised;Type;Demand Type;Forecast Accuracy;Forecast Bias
not on backorder;27;High;Between 100%-125%;108,00%;no;Ohio;yes;telephone;Seasonal;Between 70 and 85%;Consistent under (<-20%)
not on backorder;6;High;Between 100%-125%;94,00%;no;Ohio;yes;telephone;Stable (High Price);Below 50%;Accurate (5% to -5%)
not on backorder;2;High;Between 100%-125%;100,00%;no;Ohio;yes;telephone;Stable (Low Price);Between 70 and 85%;Moderate over (5% to 20%)
not on backorder;20;High;Between 100%-125%;96,00%;no;Ohio;yes;telephone;Volatile (High Price);Below 50%;Consistent under (<-20%)
not on backorder;5;High;Between 100%-125%;98,00%;no;Ohio;yes;unknown;Growing;Between 70 and 85%;Accurate (5% to -5%)
not on backorder;28;High;Between 100%-125%;106,00%;no;Ohio;yes;unknown;Stable (Low Price);Between 70 and 85%;Moderate over (5% to 20%)
not on backorder;25;High;Between 100%-125%;392,00%;no;Oregon;no;cellular;Growing;Between 70 and 85%;Accurate (5% to -5%)
not on backorder;3;High;Between 100%-125%;92,00%;no;Oregon;no;cellular;Intermittent;Below 50%;Consistent over (>20%)
not on backorder;14;High;Between 100%-125%;196,00%;no;Oregon;no;cellular;Intermittent;Between 50% and 70 %;Accurate (5% to -5%)
not on backorder;12;High;Between 100%-125%;96,00%;no;Oregon;no;cellular;Intermittent;Between 70 and 85%;Accurate (5% to -5%)
not on backorder;18;High;Between 100%-125%;310,00%;no;Oregon;no;cellular;Intermittent;Between 70 and 85%;Consistent over (>20%)
not on backorder;1;High;Between 100%-125%;96,00%;no;Oregon;no;cellular;Stable (High Price);Between 70 and 85%;Moderate over (5% to 20%)
not on backorder;16;High;Between 100%-125%;98,00%;no;Oregon;no;telephone;Growing;Between 70 and 85%;Accurate (5% to -5%)
not on backorder;5;High;Between 100%-125%;104,00%;no;Oregon;no;unknown;Declining;Below 50%;Accurate (5% to -5%)
not on backorder;20;High;Between 100%-125%;316,00%;no;Oregon;no;unknown;Declining;Between 70 and 85%;Accurate (5% to -5%)
not on backorder;2;High;Between 100%-125%;98,00%;no;Oregon;no;unknown;Declining;Between 70 and 85%;Consistent over (>20%)
not on backorder;27;High;Between 100%-125%;192,00%;no;Oregon;no;unknown;Declining;Between 70 and 85%;Moderate over (5% to 20%)
not on backorder;26;High;Between 100%-125%;200,00%;no;Oregon;no;unknown;Growing;Below 50%;Accurate (5% to -5%)
not on backorder;19;High;Between 100%-125%;92,00%;no;Oregon;no;unknown;Growing;Below 50%;Consistent under (<-20%)
not on backorder;79;High;Between 100%-125%;678,00%;no;Oregon;no;unknown;Growing;Between 50% and 70 %;Accurate (5% to -5%)
not on backorder;19;High;Between 100%-125%;190,00%;no;Oregon;no;unknown;Growing;Between 50% and 70 %;Consistent over (>20%)
not on backorder;128;High;Between 100%-125%;1498,00%;no;Oregon;no;unknown;Growing;Between 70 and 85%;Accurate (5% to -5%)
not on backorder;22;High;Between 100%-125%;210,00%;no;Oregon;no;unknown;Growing;Between 70 and 85%;Consistent over (>20%)
not on backorder;61;High;Between 100%-125%;398,00%;no;Oregon;no;unknown;Growing;Between 70 and 85%;Moderate over (5% to 20%)
not on backorder;26;High;Between 100%-125%;306,00%;no;Oregon;no;unknown;Intermittent;Below 50%;Consistent over (>20%)
not on backorder;52;High;Between 100%-125%;308,00%;no;Oregon;no;unknown;Intermittent;Between 50% and 70 %;Consistent over (>20%)
not on backorder;56;High;Between 100%-125%;416,00%;no;Oregon;no;unknown;Intermittent;Between 70 and 85%;Accurate (5% to -5%)
not on backorder;162;High;Between 100%-125%;1504,00%;no;Oregon;no;unknown;Intermittent;Between 70 and 85%;Consistent over (>20%)
not on backorder;18;High;Between 100%-125%;98,00%;no;Oregon;no;unknown;Intermittent;Between 70 and 85%;Consistent under (<-20%)
not on backorder;5;High;Between 100%-125%;102,00%;no;Oregon;no;unknown;Intermittent;Between 70 and 85%;Moderate over (5% to 20%)
not on backorder;5;High;Between 100%-125%;110,00%;no;Oregon;no;unknown;No Segment;Between 70 and 85%;Accurate (5% to -5%)
not on backorder;30;High;Between 100%-125%;206,00%;no;Oregon;no;unknown;No Segment;Between 70 and 85%;Consistent over (>20%)
not on backorder;11;High;Between 100%-125%;104,00%;no;Oregon;no;unknown;No Segment;Between 70 and 85%;Consistent under (<-20%)
not on backorder;2;High;Between 100%-125%;96,00%;no;Oregon;no;unknown;No Segment;Between 70 and 85%;Moderate over (5% to 20%)
not on backorder;23;High;Between 100%-125%;188,00%;no;Oregon;no;unknown;Seasonal;Below 50%;Consistent over (>20%)
not on backorder;44;High;Between 100%-125%;292,00%;no;Oregon;no;unknown;Seasonal;Between 50% and 70 %;Consistent over (>20%)
not on backorder;148;High;Between 100%-125%;1294,00%;no;Oregon;no;unknown;Seasonal;Between 70 and 85%;Consistent over (>20%)
not on backorder;29;High;Between 100%-125%;194,00%;no;Oregon;no;unknown;Seasonal;Between 70 and 85%;Consistent under (<-20%)
not on backorder;6;High;Between 100%-125%;92,00%;no;Oregon;no;unknown;Seasonal;Between 70 and 85%;Moderate over (5% to 20%)
not on backorder;22;High;Between 100%-125%;206,00%;no;Oregon;no;unknown;Stable (High Price);Below 50%;Consistent over (>20%)
not on backorder;16;High;Between 100%-125%;96,00%;no;Oregon;no;unknown;Stable (High Price);Below 50%;Consistent under (<-20%)
not on backorder;37;High;Between 100%-125%;208,00%;no;Oregon;no;unknown;Stable (High Price);Between 50% and 70 %;Consistent over (>20%)
not on backorder;115;High;Between 100%-125%;994,00%;no;Oregon;no;unknown;Stable (High Price);Between 70 and 85%;Consistent over (>20%)
not on backorder;8;High;Between 100%-125%;202,00%;no;Oregon;no;unknown;Stable (High Price);Between 70 and 85%;Moderate over (5% to 20%)
not on backorder;19;High;Between 100%-125%;100,00%;no;Oregon;no;unknown;Stable (Low Price);Below 50%;Accurate (5% to -5%)
not on backorder;12;High;Between 100%-125%;96,00%;no;Oregon;no;unknown;Stable (Low Price);Below 50%;Consistent over (>20%)
not on backorder;41;High;Between 100%-125%;412,00%;no;Oregon;no;unknown;Stable (Low Price);Below 50%;Moderate over (5% to 20%)
not on backorder;16;High;Between 100%-125%;106,00%;no;Oregon;no;unknown;Stable (Low Price);Between 50% and 70 %;Accurate (5% to -5%)
not on backorder;40;High;Between 100%-125%;300,00%;no;Oregon;no;unknown;Stable (Low Price);Between 50% and 70 %;Consistent over (>20%)
not on backorder;35;High;Between 100%-125%;308,00%;no;Oregon;no;unknown;Stable (Low Price);Between 50% and 70 %;Moderate over (5% to 20%)
not on backorder;62;High;Between 100%-125%;488,00%;no;Oregon;no;unknown;Stable (Low Price);Between 70 and 85%;Accurate (5% to -5%)
not on backorder;78;High;Between 100%-125%;1068,00%;no;Oregon;no;unknown;Stable (Low Price);Between 70 and 85%;Consistent over (>20%)
not on backorder;25;High;Between 100%-125%;200,00%;no;Oregon;no;unknown;Stable (Low Price);Between 70 and 85%;Consistent under (<-20%)
not on backorder;305;High;Between 100%-125%;2894,00%;no;Oregon;no;unknown;Stable (Low Price);Between 70 and 85%;Moderate over (5% to 20%)
not on backorder;17;High;Between 100%-125%;108,00%;no;Oregon;no;unknown;Volatile (Low Price);Below 50%;Consistent over (>20%)
not on backorder;5;High;Between 100%-125%;110,00%;no;Oregon;no;unknown;Volatile (Low Price);Between 50% and 70 %;Consistent over (>20%)
not on backorder;66;High;Between 100%-125%;430,00%;no;Oregon;no;unknown;Volatile (Low Price);Between 70 and 85%;Consistent over (>20%)
not on backorder;36;High;Between 100%-125%;190,00%;no;Oregon;no;unknown;Volatile (Low Price);Between 70 and 85%;Moderate over (5% to 20%)
not on backorder;1;High;Between 100%-125%;94,00%;no;Oregon;yes;cellular;Cyclical;Below 50%;Consistent under (<-20%)
not on backorder;19;High;Between 100%-125%;308,00%;no;Oregon;yes;cellular;Growing;Below 50%;Accurate (5% to -5%)
not on backorder;10;High;Between 100%-125%;192,00%;no;Oregon;yes;cellular;Growing;Between 50% and 70 %;Accurate (5% to -5%)
not on backorder;47;High;Between 100%-125%;602,00%;no;Oregon;yes;cellular;Growing;Between 70 and 85%;Accurate (5% to -5%)
not on backorder;3;High;Between 100%-125%;100,00%;no;Oregon;yes;cellular;Growing;Between 70 and 85%;Consistent over (>20%)
not on backorder;8;High;Between 100%-125%;100,00%;no;Oregon;yes;cellular;Intermittent;Below 50%;Consistent over (>20%)
not on backorder;16;High;Between 100%-125%;194,00%;no;Oregon;yes;cellular;Intermittent;Between 50% and 70 %;Consistent over (>20%)
not on backorder;7;High;Between 100%-125%;306,00%;no;Oregon;yes;cellular;Intermittent;Between 70 and 85%;Accurate (5% to -5%)
not on backorder;9;High;Between 100%-125%;106,00%;no;Oregon;yes;cellular;No Segment;Below 50%;Moderate over (5% to 20%)
not on backorder;22;High;Between 100%-125%;108,00%;no;Oregon;yes;cellular;No Segment;Between 70 and 85%;Accurate (5% to -5%)
not on backorder;8;High;Between 100%-125%;104,00%;no;Oregon;yes;cellular;No Segment;Between 70 and 85%;Moderate over (5% to 20%)
not on backorder;2;High;Between 100%-125%;108,00%;no;Oregon;yes;cellular;Seasonal;Below 50%;Consistent over (>20%)
not on backorder;2;High;Between 100%-125%;184,00%;no;Oregon;yes;cellular;Seasonal;Between 50% and 70 %;Consistent over (>20%)
not on backorder;22;High;Between 100%-125%;110,00%;no;Oregon;yes;cellular;Seasonal;Between 70 and 85%;Consistent over (>20%)
not on backorder;3;High;Between 100%-125%;92,00%;no;Oregon;yes;cellular;Stable (High Price);Between 70 and 85%;Accurate (5% to -5%)
not on backorder;13;High;Between 100%-125%;196,00%;no;Oregon;yes;cellular;Stable (High Price);Between 70 and 85%;Consistent over (>20%)
not on backorder;16;High;Between 100%-125%;106,00%;no;Oregon;yes;cellular;Stable (High Price);Between 70 and 85%;Consistent under (<-20%)
not on backorder;3;High;Between 100%-125%;110,00%;no;Oregon;yes;cellular;Stable (Low Price);Between 70 and 85%;Accurate (5% to -5%)
not on backorder;46;High;Between 100%-125%;430,00%;no;Oregon;yes;cellular;Stable (Low Price);Between 70 and 85%;Consistent over (>20%)
not on backorder;2;High;Between 100%-125%;106,00%;no;Oregon;yes;cellular;Stable (Low Price);Between 70 and 85%;Moderate over (5% to 20%)
not on backorder;5;High;Between 100%-125%;108,00%;no;Oregon;yes;cellular;Volatile (Low Price);Below 50%;Moderate over (5% to 20%)
not on backorder;3;High;Between 100%-125%;110,00%;no;Oregon;yes;cellular;Volatile (Low Price);Between 50% and 70 %;Consistent over (>20%)
not on backorder;2;High;Between 100%-125%;94,00%;no;Oregon;yes;telephone;Cyclical;Below 50%;Consistent under (<-20%)
not on backorder;5;High;Between 100%-125%;108,00%;no;Oregon;yes;telephone;Declining;Between 70 and 85%;Accurate (5% to -5%)
not on backorder;2;High;Between 100%-125%;102,00%;no;Oregon;yes;telephone;Declining;Between 70 and 85%;Consistent over (>20%)
not on backorder;5;High;Between 100%-125%;108,00%;no;Oregon;yes;telephone;Growing;Below 50%;Accurate (5% to -5%)
not on backorder;4;High;Between 100%-125%;100,00%;no;Oregon;yes;telephone;Growing;Below 50%;Consistent over (>20%)
not on backorder;2;High;Between 100%-125%;110,00%;no;Oregon;yes;telephone;Growing;Between 50% and 70 %;Accurate (5% to -5%)
not on backorder;28;High;Between 100%-125%;214,00%;no;Oregon;yes;telephone;Growing;Between 70 and 85%;Accurate (5% to -5%)
not on backorder;5;High;Between 100%-125%;100,00%;no;Oregon;yes;telephone;Growing;Between 70 and 85%;Consistent over (>20%)
not on backorder;5;High;Between 100%-125%;102,00%;no;Oregon;yes;telephone;Intermittent;Between 70 and 85%;Accurate (5% to -5%)
not on backorder;8;High;Between 100%-125%;198,00%;no;Oregon;yes;telephone;Seasonal;Between 70 and 85%;Consistent over (>20%)
not on backorder;15;High;Between 100%-125%;92,00%;no;Oregon;yes;telephone;Stable (High Price);Below 50%;Accurate (5% to -5%)
not on backorder;4;High;Between 100%-125%;100,00%;no;Oregon;yes;telephone;Stable (Low Price);Between 70 and 85%;Consistent over (>20%)
not on backorder;3;High;Between 100%-125%;204,00%;no;Oregon;yes;telephone;Stable (Low Price);Between 70 and 85%;Moderate over (5% to 20%)
not on backorder;1;High;Between 100%-125%;104,00%;no;Oregon;yes;telephone;Volatile (Low Price);Between 70 and 85%;Moderate over (5% to 20%)
not on backorder;17;High;Between 100%-125%;98,00%;no;Oregon;yes;unknown;Cyclical;Below 50%;Accurate (5% to -5%)
not on backorder;17;High;Between 100%-125%;92,00%;no;Oregon;yes;unknown;Cyclical;Below 50%;Consistent over (>20%)
not on backorder;17;High;Between 100%-125%;202,00%;no;Oregon;yes;unknown;Cyclical;Below 50%;Consistent under (<-20%)
not on backorder;18;High;Between 100%-125%;92,00%;no;Oregon;yes;unknown;Cyclical;Below 50%;Moderate over (5% to 20%)
not on backorder;37;High;Between 100%-125%;190,00%;no;Oregon;yes;unknown;Cyclical;Between 70 and 85%;Accurate (5% to -5%)
not on backorder;45;High;Between 100%-125%;312,00%;no;Oregon;yes;unknown;Cyclical;Between 70 and 85%;Consistent over (>20%)
not on backorder;183;High;Between 100%-125%;1466,00%;no;Oregon;yes;unknown;Cyclical;Between 70 and 85%;Consistent under (<-20%)
not on backorder;54;High;Between 100%-125%;486,00%;no;Oregon;yes;unknown;Cyclical;Between 70 and 85%;Moderate over (5% to 20%)
not on backorder;6;High;Between 100%-125%;92,00%;no;Oregon;yes;unknown;Declining;Below 50%;Consistent over (>20%)
not on backorder;18;High;Between 100%-125%;96,00%;no;Oregon;yes;unknown;Declining;Below 50%;Consistent under (<-20%)
not on backorder;35;High;Between 100%-125%;316,00%;no;Oregon;yes;unknown;Declining;Between 50% and 70 %;Accurate (5% to -5%)
not on backorder;37;High;Between 100%-125%;216,00%;no;Oregon;yes;unknown;Declining;Between 50% and 70 %;Consistent over (>20%)
not on backorder;54;High;Between 100%-125%;416,00%;no;Oregon;yes;unknown;Declining;Between 70 and 85%;Accurate (5% to -5%)
not on backorder;82;High;Between 100%-125%;406,00%;no;Oregon;yes;unknown;Declining;Between 70 and 85%;Consistent over (>20%)
not on backorder;12;High;Between 100%-125%;204,00%;no;Oregon;yes;unknown;Declining;Between 70 and 85%;Moderate over (5% to 20%)
not on backorder;112;High;Between 100%-125%;792,00%;no;Oregon;yes;unknown;Growing;Below 50%;Accurate (5% to -5%)
not on backorder;34;High;Between 100%-125%;192,00%;no;Oregon;yes;unknown;Growing;Below 50%;Moderate over (5% to 20%)
not on backorder;46;High;Between 100%-125%;500,00%;no;Oregon;yes;unknown;Growing;Between 50% and 70 %;Accurate (5% to -5%)
not on backorder;26;High;Between 100%-125%;298,00%;no;Oregon;yes;unknown;Growing;Between 50% and 70 %;Consistent over (>20%)
not on backorder;20;High;Between 100%-125%;108,00%;no;Oregon;yes;unknown;Growing;Between 50% and 70 %;Consistent under (<-20%)
not on backorder;18;High;Between 100%-125%;204,00%;no;Oregon;yes;unknown;Growing;Between 50% and 70 %;Moderate over (5% to 20%)
not on backorder;643;High;Between 100%-125%;4684,00%;no;Oregon;yes;unknown;Growing;Between 70 and 85%;Accurate (5% to -5%)
not on backorder;153;High;Between 100%-125%;1422,00%;no;Oregon;yes;unknown;Growing;Between 70 and 85%;Consistent over (>20%)
not on backorder;111;High;Between 100%-125%;1194,00%;no;Oregon;yes;unknown;Growing;Between 70 and 85%;Consistent under (<-20%)
not on backorder;171;High;Between 100%-125%;1320,00%;no;Oregon;yes;unknown;Growing;Between 70 and 85%;Moderate over (5% to 20%)
not on backorder;52;High;Between 100%-125%;394,00%;no;Oregon;yes;unknown;Intermittent;Below 50%;Accurate (5% to -5%)
not on backorder;26;High;Between 100%-125%;202,00%;no;Oregon;yes;unknown;Intermittent;Below 50%;Consistent over (>20%)
not on backorder;25;High;Between 100%-125%;218,00%;no;Oregon;yes;unknown;Intermittent;Below 50%;Consistent under (<-20%)
not on backorder;41;High;Between 100%-125%;296,00%;no;Oregon;yes;unknown;Intermittent;Between 50% and 70 %;Accurate (5% to -5%)
not on backorder;114;High;Between 100%-125%;684,00%;no;Oregon;yes;unknown;Intermittent;Between 50% and 70 %;Consistent over (>20%)
not on backorder;16;High;Between 100%-125%;108,00%;no;Oregon;yes;unknown;Intermittent;Between 50% and 70 %;Consistent under (<-20%)
not on backorder;12;High;Between 100%-125%;102,00%;no;Oregon;yes;unknown;Intermittent;Between 50% and 70 %;Moderate over (5% to 20%)
not on backorder;172;High;Between 100%-125%;1172,00%;no;Oregon;yes;unknown;Intermittent;Between 70 and 85%;Accurate (5% to -5%)
not on backorder;259;High;Between 100%-125%;2086,00%;no;Oregon;yes;unknown;Intermittent;Between 70 and 85%;Consistent over (>20%)
not on backorder;95;High;Between 100%-125%;716,00%;no;Oregon;yes;unknown;Intermittent;Between 70 and 85%;Consistent under (<-20%)
not on backorder;26;High;Between 100%-125%;206,00%;no;Oregon;yes;unknown;Intermittent;Between 70 and 85%;Moderate over (5% to 20%)
not on backorder;39;High;Between 100%-125%;198,00%;no;Oregon;yes;unknown;No Segment;Between 50% and 70 %;Accurate (5% to -5%)
not on backorder;5;High;Between 100%-125%;106,00%;no;Oregon;yes;unknown;No Segment;Between 50% and 70 %;Consistent over (>20%)
not on backorder;63;High;Between 100%-125%;500,00%;no;Oregon;yes;unknown;No Segment;Between 70 and 85%;Consistent over (>20%)
not on backorder;50;High;Between 100%-125%;486,00%;no;Oregon;yes;unknown;No Segment;Between 70 and 85%;Moderate over (5% to 20%)
not on backorder;50;High;Between 100%-125%;498,00%;no;Oregon;yes;unknown;Seasonal;Below 50%;Consistent over (>20%)
not on backorder;11;High;Between 100%-125%;102,00%;no;Oregon;yes;unknown;Seasonal;Below 50%;Consistent under (<-20%)
not on backorder;17;High;Between 100%-125%;96,00%;no;Oregon;yes;unknown;Seasonal;Below 50%;Moderate over (5% to 20%)
not on backorder;71;High;Between 100%-125%;524,00%;no;Oregon;yes;unknown;Seasonal;Between 50% and 70 %;Consistent over (>20%)
not on backorder;6;High;Between 100%-125%;108,00%;no;Oregon;yes;unknown;Seasonal;Between 50% and 70 %;Moderate over (5% to 20%)
not on backorder;20;High;Between 100%-125%;102,00%;no;Oregon;yes;unknown;Seasonal;Between 70 and 85%;Accurate (5% to -5%)
not on backorder;270;High;Between 100%-125%;1884,00%;no;Oregon;yes;unknown;Seasonal;Between 70 and 85%;Consistent over (>20%)
not on backorder;20;High;Between 100%-125%;96,00%;no;Oregon;yes;unknown;Seasonal;Between 70 and 85%;Moderate over (5% to 20%)
not on backorder;24;High;Between 100%-125%;304,00%;no;Oregon;yes;unknown;Stable (High Price);Below 50%;Accurate (5% to -5%)
not on backorder;77;High;Between 100%-125%;614,00%;no;Oregon;yes;unknown;Stable (High Price);Below 50%;Consistent over (>20%)
not on backorder;6;High;Between 100%-125%;108,00%;no;Oregon;yes;unknown;Stable (High Price);Below 50%;Consistent under (<-20%)
not on backorder;22;High;Between 100%-125%;216,00%;no;Oregon;yes;unknown;Stable (High Price);Below 50%;Moderate over (5% to 20%)
not on backorder;17;High;Between 100%-125%;100,00%;no;Oregon;yes;unknown;Stable (High Price);Between 50% and 70 %;Accurate (5% to -5%)
not on backorder;93;High;Between 100%-125%;896,00%;no;Oregon;yes;unknown;Stable (High Price);Between 50% and 70 %;Consistent over (>20%)
not on backorder;46;High;Between 100%-125%;300,00%;no;Oregon;yes;unknown;Stable (High Price);Between 50% and 70 %;Consistent under (<-20%)
not on backorder;146;High;Between 100%-125%;1230,00%;no;Oregon;yes;unknown;Stable (High Price);Between 50% and 70 %;Moderate over (5% to 20%)
not on backorder;38;High;Between 100%-125%;286,00%;no;Oregon;yes;unknown;Stable (High Price);Between 70 and 85%;Accurate (5% to -5%)
not on backorder;371;High;Between 100%-125%;2886,00%;no;Oregon;yes;unknown;Stable (High Price);Between 70 and 85%;Consistent over (>20%)
not on backorder;43;High;Between 100%-125%;404,00%;no;Oregon;yes;unknown;Stable (High Price);Between 70 and 85%;Consistent under (<-20%)
not on backorder;461;High;Between 100%-125%;3638,00%;no;Oregon;yes;unknown;Stable (High Price);Between 70 and 85%;Moderate over (5% to 20%)
not on backorder;17;High;Between 100%-125%;198,00%;no;Oregon;yes;unknown;Stable (Low Price);Below 50%;Accurate (5% to -5%)
not on backorder;42;High;Between 100%-125%;198,00%;no;Oregon;yes;unknown;Stable (Low Price);Below 50%;Consistent over (>20%)
not on backorder;71;High;Between 100%-125%;404,00%;no;Oregon;yes;unknown;Stable (Low Price);Below 50%;Consistent under (<-20%)
not on backorder;54;High;Between 100%-125%;492,00%;no;Oregon;yes;unknown;Stable (Low Price);Below 50%;Moderate over (5% to 20%)
not on backorder;6;High;Between 100%-125%;110,00%;no;Oregon;yes;unknown;Stable (Low Price);Between 50% and 70 %;Accurate (5% to -5%)
not on backorder;18;High;Between 100%-125%;316,00%;no;Oregon;yes;unknown;Stable (Low Price);Between 50% and 70 %;Consistent over (>20%)
not on backorder;113;High;Between 100%-125%;908,00%;no;Oregon;yes;unknown;Stable (Low Price);Between 50% and 70 %;Moderate over (5% to 20%)
not on backorder;139;High;Between 100%-125%;1098,00%;no;Oregon;yes;unknown;Stable (Low Price);Between 70 and 85%;Accurate (5% to -5%)
not on backorder;664;High;Between 100%-125%;4340,00%;no;Oregon;yes;unknown;Stable (Low Price);Between 70 and 85%;Consistent over (>20%)
not on backorder;146;High;Between 100%-125%;1008,00%;no;Oregon;yes;unknown;Stable (Low Price);Between 70 and 85%;Consistent under (<-20%)
not on backorder;585;High;Between 100%-125%;4238,00%;no;Oregon;yes;unknown;Stable (Low Price);Between 70 and 85%;Moderate over (5% to 20%)
not on backorder;16;High;Between 100%-125%;202,00%;no;Oregon;yes;unknown;Volatile (Low Price);Below 50%;Consistent over (>20%)
not on backorder;18;High;Between 100%-125%;98,00%;no;Oregon;yes;unknown;Volatile (Low Price);Below 50%;Consistent under (<-20%)
not on backorder;99;High;Between 100%-125%;800,00%;no;Oregon;yes;unknown;Volatile (Low Price);Below 50%;Moderate over (5% to 20%)
not on backorder;68;High;Between 100%-125%;404,00%;no;Oregon;yes;unknown;Volatile (Low Price);Between 50% and 70 %;Consistent over (>20%)
not on backorder;118;High;Between 100%-125%;732,00%;no;Oregon;yes;unknown;Volatile (Low Price);Between 50% and 70 %;Moderate over (5% to 20%)
not on backorder;21;High;Between 100%-125%;220,00%;no;Oregon;yes;unknown;Volatile (Low Price);Between 70 and 85%;Accurate (5% to -5%)
not on backorder;165;High;Between 100%-125%;1476,00%;no;Oregon;yes;unknown;Volatile (Low Price);Between 70 and 85%;Consistent over (>20%)
not on backorder;6;High;Between 100%-125%;104,00%;no;Oregon;yes;unknown;Volatile (Low Price);Between 70 and 85%;Consistent under (<-20%)
not on backorder;207;High;Between 100%-125%;1650,00%;no;Oregon;yes;unknown;Volatile (Low Price);Between 70 and 85%;Moderate over (5% to 20%)
not on backorder;52;High;Between 100%-125%;206,00%;no;Pennsylvania;no;cellular;Growing;Between 50% and 70 %;Accurate (5% to -5%)
not on backorder;4;High;Between 100%-125%;94,00%;no;Pennsylvania;no;cellular;Growing;Between 70 and 85%;Accurate (5% to -5%)
not on backorder;13;High;Between 100%-125%;94,00%;no;Pennsylvania;no;cellular;Intermittent;Between 70 and 85%;Consistent over (>20%)
not on backorder;8;High;Between 100%-125%;92,00%;no;Pennsylvania;no;cellular;Seasonal;Between 70 and 85%;Consistent over (>20%)
not on backorder;7;High;Between 100%-125%;106,00%;no;Pennsylvania;no;cellular;Stable (High Price);Between 70 and 85%;Consistent over (>20%)
not on backorder;2;High;Between 100%-125%;106,00%;no;Pennsylvania;no;cellular;Stable (Low Price);Between 70 and 85%;Consistent over (>20%)
not on backorder;25;High;Between 100%-125%;98,00%;no;Pennsylvania;yes;cellular;Declining;Between 70 and 85%;Accurate (5% to -5%)
not on backorder;22;High;Between 100%-125%;92,00%;no;Pennsylvania;yes;cellular;Growing;Below 50%;Consistent over (>20%)
not on backorder;22;High;Between 100%-125%;110,00%;no;Pennsylvania;yes;cellular;Growing;Between 50% and 70 %;Accurate (5% to -5%)
not on backorder;77;High;Between 100%-125%;786,00%;no;Pennsylvania;yes;cellular;Growing;Between 70 and 85%;Accurate (5% to -5%)
not on backorder;7;High;Between 100%-125%;96,00%;no;Pennsylvania;yes;cellular;Growing;Between 70 and 85%;Moderate over (5% to 20%)
not on backorder;6;High;Between 100%-125%;102,00%;no;Pennsylvania;yes;cellular;Intermittent;Between 70 and 85%;Consistent over (>20%)
not on backorder;48;High;Between 100%-125%;214,00%;no;Pennsylvania;yes;cellular;Seasonal;Between 70 and 85%;Consistent over (>20%)
not on backorder;4;High;Between 100%-125%;102,00%;no;Pennsylvania;yes;cellular;Stable (High Price);Between 70 and 85%;Moderate over (5% to 20%)
not on backorder;11;High;Between 100%-125%;98,00%;no;Pennsylvania;yes;cellular;Stable (Low Price);Between 50% and 70 %;Accurate (5% to -5%)
not on backorder;4;High;Between 100%-125%;104,00%;no;Pennsylvania;yes;telephone;Intermittent;Between 70 and 85%;Consistent over (>20%)
not on backorder;36;High;Between 100%-125%;212,00%;no;Pennsylvania;yes;telephone;Seasonal;Between 70 and 85%;Consistent over (>20%)
not on backorder;4;High;Between 100%-125%;110,00%;no;Pennsylvania;yes;unknown;Cyclical;Between 70 and 85%;Moderate over (5% to 20%)
not on backorder;13;High;Between 100%-125%;102,00%;no;Pennsylvania;yes;unknown;Stable (High Price);Between 50% and 70 %;Moderate over (5% to 20%)
not on backorder;18;High;Between 100%-125%;100,00%;no;Texas;no;cellular;Declining;Below 50%;Accurate (5% to -5%)
not on backorder;54;High;Between 100%-125%;298,00%;no;Texas;no;cellular;Declining;Between 50% and 70 %;Accurate (5% to -5%)
not on backorder;19;High;Between 100%-125%;104,00%;no;Texas;no;cellular;Declining;Between 50% and 70 %;Consistent over (>20%)
not on backorder;54;High;Between 100%-125%;308,00%;no;Texas;no;cellular;Declining;Between 70 and 85%;Accurate (5% to -5%)
not on backorder;18;High;Between 100%-125%;106,00%;no;Texas;no;cellular;Declining;Between 70 and 85%;Consistent over (>20%)
not on backorder;19;High;Between 100%-125%;108,00%;no;Texas;no;cellular;Declining;Between 70 and 85%;Moderate over (5% to 20%)
not on backorder;109;High;Between 100%-125%;586,00%;no;Texas;no;cellular;Growing;Below 50%;Accurate (5% to -5%)
not on backorder;123;High;Between 100%-125%;696,00%;no;Texas;no;cellular;Growing;Between 50% and 70 %;Accurate (5% to -5%)
not on backorder;70;High;Between 100%-125%;392,00%;no;Texas;no;cellular;Growing;Between 50% and 70 %;Consistent over (>20%)
not on backorder;565;High;Between 100%-125%;3372,00%;no;Texas;no;cellular;Growing;Between 70 and 85%;Accurate (5% to -5%)
not on backorder;180;High;Between 100%-125%;992,00%;no;Texas;no;cellular;Growing;Between 70 and 85%;Consistent over (>20%)
not on backorder;70;High;Between 100%-125%;408,00%;no;Texas;no;cellular;Intermittent;Below 50%;Consistent over (>20%)
not on backorder;73;High;Between 100%-125%;402,00%;no;Texas;no;cellular;Intermittent;Between 50% and 70 %;Consistent over (>20%)
not on backorder;19;High;Between 100%-125%;94,00%;no;Texas;no;cellular;Intermittent;Between 50% and 70 %;Moderate over (5% to 20%)
not on backorder;36;High;Between 100%-125%;196,00%;no;Texas;no;cellular;Intermittent;Between 70 and 85%;Accurate (5% to -5%)
not on backorder;323;High;Between 100%-125%;1812,00%;no;Texas;no;cellular;Intermittent;Between 70 and 85%;Consistent over (>20%)
not on backorder;90;High;Between 100%-125%;508,00%;no;Texas;no;cellular;Intermittent;Between 70 and 85%;Consistent under (<-20%)
not on backorder;19;High;Between 100%-125%;106,00%;no;Texas;no;cellular;Intermittent;Between 70 and 85%;Moderate over (5% to 20%)
